country,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,date,source,status,url
Afghanistan,NA,0,NA,NA,2022-10-06,manually,automated,http://covid.moph-dw.orghttp://covidapp.moph-dw.org/
Andorra,NA,0,NA,NA,2022-10-06,manually,need_new_source,https://www.govern.ad/covid19/en/
Argentina,NA,0,NA,NA,2022-10-06,manually,automated,https://coronavirus.msal.gov.ar/publico/d/20as/sala-de-situacion-coronavirus-acceso-publico/d/20as/sala-de-situacion-coronavirus-acceso-publico?orgId=3&refresh=15m
Australia,NA,0,NA,NA,2022-10-06,manually,automated,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert/coronavirus-covid-19-current-situation-and-case-numbers#tests-conducted-and-results
Austria,NA,0,NA,NA,2022-10-06,manually,automated,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Bangladesh,14898480,0,NA,NA,2022-10-06,manually,automated,https://corona.gov.bd/
Barbados,NA,0,NA,NA,2022-10-06,manually,automated,https://gisbarbados.gov.bb/covid-19/
Bhutan,NA,0,NA,NA,2022-10-06,manually,image,https://www.facebook.com/MoHBhutan/
Bolivia,NA,0,NA,NA,2022-10-06,manually,image,https://www.minsalud.gob.bo/
Brazil,78641767,0,NA,NA,2022-10-06,manually,automated,http://www.giscard.com.br/coronavirus/indice-testes-realizados-covid19-brasil.php
Brunei,NA,0,NA,NA,2022-10-06,manually,need_new_source,http://www.moh.gov.bn/Lists/Latest%20news/AllItems.aspx
Cambodia,3073975,0,NA,NA,2022-10-06,manually,automated,http://cdcmoh.gov.kh
China,NA,0,NA,NA,2022-10-06,manually,without_information,NA
Croatia,5247588,0,NA,NA,2022-10-06,manually,not_yet_automated,https://www.koronavirus.hr/najnovije/ukupno-dosad-382-zarazene-osobe-u-hrvatskoj/35
Cyprus,NA,0,NA,NA,2022-10-06,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/
Dominica,NA,0,NA,NA,2022-10-06,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos
DominicanRepublic,NA,0,NA,NA,2022-10-06,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4
FrenchPolynesia,NA,0,NA,NA,2022-10-06,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation
Georgia,NA,0,NA,NA,2022-10-06,manually,not_yet_automated_daily,https://stopcov.ge/en/
Germany,142569122,0,NA,NA,2022-10-06,manually,xslx,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html
Greenland,NA,0,NA,NA,2022-10-06,manually,need_new_source,https://e.infogram.com/a7e83088-1850-42bb-993a-2bc35f63d26b?src=embed
Grenada,NA,0,NA,NA,2022-10-06,manually,facebook,https://web.facebook.com/HealthGrenada/photos/a.570448523487244/952200915312001
Guyana,NA,0,NA,NA,2022-10-06,manually,image,https://www.health.gov.gy/
Honduras,NA,0,NA,NA,2022-10-06,manually,image,http://www.bvs.hn/COVID-19/
HongKong,NA,0,NA,NA,2022-10-06,manually,pdf,https://www.chp.gov.hk/files/pdf/statistics_on_covid_19_testing.pdf
Hungary,NA,0,NA,NA,2022-10-06,manually,automated,https://koronavirus.gov.hu/#aktualis
Iceland,NA,0,NA,NA,2022-10-06,manually,automated,https://www.covid.is/tolulegar-upplysingar
Iran,NA,0,NA,NA,2022-10-06,manually,automated,http://irangov.ir/search?key=Health%20Ministry&title=1
Iraq,NA,0,NA,NA,2022-10-06,manually,image,https://www.facebook.com/MOH.GOV.IQ
Ireland,NA,0,NA,NA,2022-10-06,manually,automated,https://covid19ireland-geohive.hub.arcgis.com/pages/hospitals-icu--testing
Israel,NA,0,NA,NA,2022-10-06,manually,not_yet_automated_daily,https://datadashboard.health.gov.il/COVID-19/general
Jamaica,NA,0,NA,NA,2022-10-06,manually,image,https://www.moh.gov.jm/updates/coronavirus/covid-19-clinical-management-summary/
Jordan,NA,0,NA,NA,2022-10-06,manually,automated,https://app.powerbi.com/view?r=eyJrIjoiZWZlOTAxOGItMmY3ZS00MzMxLWE3MmItZWU4ZGViMTlkNTUwIiwidCI6IjM3MjI3YTljLWI1OGUtNGNiNi05NDNhLWI2ZjE5ZmJjZWFjMCIsImMiOjl9
Kazakhstan,NA,0,NA,NA,2022-10-06,manually,special_dashboard,https://hls.kz/
Kosovo,1977079,0,NA,NA,2022-10-06,manually,facebook,https://datastudio.google.com/embed/u/0/reporting/2e546d77-8f7b-4c35-8502-38533aa0e9e8/page/MT0qB?fbclid=IwAR3bGrIV4hcD6Qe0CXv_f3ukuBKuNLkAacl4yPohGOvD5U_JjVERrnpqwes
Kuwait,NA,0,NA,NA,2022-10-06,manually,twitter,https://twitter.com/KUWAIT_MOH
Kyrgyzstan,NA,0,NA,NA,2022-10-06,manually,image,https://www.instagram.com/daryger_sunushu/
LaoPeoplesDemocraticRepublic,NA,0,NA,NA,2022-10-06,manually,not_yet_automated,https://www.covid19.gov.la/index.php
Luxembourg,NA,0,NA,NA,2022-10-06,manually,not_yet_automated_daily,https://covid19.public.lu/fr/graph.html
Malaysia,NA,0,NA,NA,2022-10-06,manually,facebook,https://www.facebook.com/kementeriankesihatanmalaysia/photos/10157490776386237
Maldives,NA,0,NA,NA,2022-10-06,manually,twitter,https://covid19.health.gov.mv/en/?c=0
Malta,NA,0,NA,NA,2022-10-06,manually,need_new_source,https://timesofmalta.com/articles/view/watch-live-daily-coronavirus-briefing.790073
