country,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,date,source,status,url,comentarios,frecuencia,cambiar status
Afghanistan,NA,0,NA,NA,2021-06-20,manually,pdf,http://covid.moph-dw.org/#/,NA,NA,NA
Barbados,NA,0,NA,NA,2021-06-20,manually,automated,https://gisbarbados.gov.bb/blog/covid-19-situation-dashboard-january-05-2021/,NA,NA,NA
Benin,NA,0,NA,NA,2021-06-20,manually,automated,https://www.gouv.bj/coronavirus/,NA,NA,NA
Bhutan,NA,0,NA,NA,2021-06-20,manually,image,https://www.facebook.com/MoHBhutan/,NA,NA,NA
Bolivia,1728101,NA,NA,NA,2021-06-20,manually,image,https://www.minsalud.gob.bo/,NA,NA,NA
Brazil,NA,0,NA,NA,2021-06-20,manually,automated,https://viz.saude.gov.br/extensions/DEMAS_C19Insumos_TESTES/DEMAS_C19Insumos_TESTES.html,NA,NA,NA
Brunei,NA,0,NA,NA,2021-06-20,manually,automated,www.moh.gov.bn/Lists/Latest%20news/NewDispForm.aspx?ID=504&Source=http%3A%2F%2Fwww%2Emoh%2Egov%2Ebn%2FLists%2FLatest%2520news%2FAllItems%2Easpx&ContentTypeId=0x0104009A3003A09F8D6E42981D262E322516A2,NA,NA,NA
Cambodia,NA,0,NA,NA,2021-06-20,manually,automated,http://cdcmoh.gov.kh/,NA,NA,NA
Chile,16433977,NA,NA,NA,2021-06-20,manually,automated,https://www.gob.cl/coronavirus/cifrasoficiales/,NA,NA,NA
China,NA,0,NA,NA,2021-06-20,manually,without_information,NA,NA,NA,NA
Colombia,18849191,NA,NA,NA,2021-06-20,manually,json,https://twitter.com/MinSaludCol,NA,NA,NA
Croatia,NA,0,NA,NA,2021-06-20,manually,automated,https://www.koronavirus.hr/najnovije/ukupno-dosad-382-zarazene-osobe-u-hrvatskoj/35,NA,NA,NA
Cuba,NA,0,NA,NA,2021-06-20,manually,not_yet_automated,http://www.cubadebate.cu/?s=Cuba+reporta,NA,NA,NA
Cyprus,NA,0,NA,NA,2021-06-20,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/,NA,NA,NA
