country,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,date,source,status,url,comentarios,frecuencia,cambiar status
Albania,NA,0,NA,NA,2021-02-23,manually,automated,https://new.shendetesia.gov.al/?s=COVID19%2F+Ministria+e+Sh%C3%ABndet%C3%ABsis%C3%AB%3A,NA,NA,NA
Andorra,NA,0,NA,NA,2021-02-23,manually,automated,https://www.govern.ad/covid19/en/,NA,NA,NA
Angola,NA,0,NA,NA,2021-02-23,manually,automated,https://africacdc.org/covid-19/,NA,NA,NA
Argentina,NA,0,NA,NA,2021-02-23,manually,NA,https://www.argentina.gob.ar/salud/coronavirus-COVID-19/sala-situacion,NA,NA,NA
Bhutan,517589,NA,NA,NA,2021-02-23,manually,image,https://www.facebook.com/MoHBhutan/,NA,NA,NA
Bolivia,687458,NA,NA,NA,2021-02-23,manually,image,https://www.minsalud.gob.bo/5315-reporte-covid-345,NA,NA,NA
BurkinaFaso,NA,0,NA,NA,2021-02-23,manually,automated,https://africacdc.org/covid-19/,NA,NA,NA
Burundi,NA,0,NA,NA,2021-02-23,manually,automated,https://africacdc.org/covid-19/,NA,NA,NA
Cambodia,NA,0,NA,NA,2021-02-23,manually,automated,http://cdcmoh.gov.kh/,NA,NA,NA
Canada,NA,0,NA,NA,2021-02-23,manually,automated,https://health-infobase.canada.ca/covid-19/epidemiological-summary-covid-19-cases.html,NA,NA,NA
Chile,NA,0,NA,NA,2021-02-23,manually,automated,https://www.gob.cl/coronavirus/cifrasoficiales/,NA,NA,NA
China,NA,0,NA,NA,2021-02-23,manually,without_information,NA,NA,NA,NA
Colombia,11258346,NA,NA,NA,2021-02-23,manually,json,https://twitter.com/MinSaludCol/status/1364331206289084420,NA,NA,NA
CostaRica,662941,NA,NA,NA,2021-02-23,manually,csv,http://geovision.uned.ac.cr/oges/index.html,NA,NA,NA
Cuba,2300430,NA,NA,NA,2021-02-23,manually,not_yet_automated,http://www.cubadebate.cu/noticias/2021/02/23/cuba-reporta-836-nuevos-casos-de-covid-19-y-cuatro-fallecidos-video/,NA,NA,NA
Cyprus,NA,0,NA,NA,2021-02-23,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/,NA,NA,NA
Dominica,11428,NA,NA,NA,2021-02-23,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos,NA,NA,NA
DominicanRepublic,NA,0,NA,NA,2021-02-23,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4,NA,NA,NA
Estonia,NA,0,NA,NA,2021-02-23,manually,pdf,https://raw.githubusercontent.com/dsbbfinddx/FINDCov19TrackerData/master/automated/coronavirus_tests_new.csv,NA,NA,NA
Fiji,NA,0,NA,NA,2021-02-23,manually,automated,http://www.health.gov.fj/,NA,NA,NA
FrenchPolynesia,NA,0,NA,NA,2021-02-23,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation,NA,NA,NA
Georgia,NA,0,NA,NA,2021-02-23,manually,not_yet_automated_daily,https://stopcov.ge/en/,NA,NA,NA
Germany,NA,0,NA,NA,2021-02-23,manually,xslx,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html,NA,NA,NA
Grenada,NA,0,NA,NA,2021-02-23,manually,facebook,https://web.facebook.com/HealthGrenada/photos/a.570448523487244/952200915312001,NA,NA,NA
Guyana,NA,0,NA,NA,2021-02-23,manually,image,https://www.health.gov.gy/index.php/component/k2/item/354-guyana-covid-19-dashboard,NA,NA,NA
Honduras,NA,0,NA,NA,2021-02-23,manually,image,http://www.desastres.hn/COVID-19/COVID-19.png,NA,NA,NA
HongKong,NA,0,NA,NA,2021-02-23,manually,pdf,https://www.chp.gov.hk/files/pdf/statistics_on_covid_19_testing.pdf,NA,NA,NA
Iraq,6685474,NA,NA,NA,2021-02-23,manually,image,https://www.facebook.com/MOH.GOV.IQ,NA,NA,NA
