country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source,status,url
Afghanistan,2021-03-01,NA,0,NA,NA,manually,pdf,https://www.humanitarianresponse.info/en/operations/afghanistan/health/documents/table
Albania,2021-03-01,NA,0,NA,NA,manually,automated,https://new.shendetesia.gov.al/?s=COVID19%2F+Ministria+e+Sh%C3%ABndet%C3%ABsis%C3%AB%3A
Angola,2021-03-01,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
Argentina,2021-03-01,NA,0,NA,NA,manually,NA,https://www.argentina.gob.ar/salud/coronavirus-COVID-19/sala-situacion
Bhutan,2021-03-01,529684,NA,NA,NA,manually,image,https://www.facebook.com/MoHBhutan/
Bolivia,2021-03-01,720678,NA,NA,NA,manually,image,https://www.minsalud.gob.bo/5334-reporte-covid-19-463-nuevos-contagios-3-429-casos-descartados-7-702-salubristas-recibieron-la-segunda-dosis-de-la-vacuna-sputnik-v-y-13-303-personas-la-primera-dosis-de-sinopharm
BurkinaFaso,2021-03-01,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
Burundi,2021-03-01,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
Cambodia,2021-03-01,NA,0,NA,NA,manually,automated,http://cdcmoh.gov.kh/
Canada,2021-03-01,NA,0,NA,NA,manually,automated,https://health-infobase.canada.ca/covid-19/epidemiological-summary-covid-19-cases.html
CapeVerde,2021-03-01,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
China,2021-03-01,NA,0,NA,NA,manually,without_information,NA
Colombia,2021-03-01,11491151,NA,NA,NA,manually,json,https://www.ins.gov.co/Noticias/Paginas/Coronavirus.aspx
CostaRica,2021-03-01,690013,NA,NA,NA,manually,csv,http://geovision.uned.ac.cr/oges/index.html
Croatia,2021-03-01,NA,0,NA,NA,manually,automated,https://www.koronavirus.hr/najnovije/ukupno-dosad-382-zarazene-osobe-u-hrvatskoj/35
Cuba,2021-03-01,2411287,NA,NA,NA,manually,not_yet_automated,http://www.cubadebate.cu/noticias/2021/03/01/cuba-reporta-811-nuevos-casos-de-covid-19-y-dos-fallecidos/
Cyprus,2021-03-01,NA,0,NA,NA,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/
Dominica,2021-03-01,11768,NA,NA,NA,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos
DominicanRepublic,2021-03-01,1211817,NA,NA,NA,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4
Ecuador,2021-03-01,NA,0,NA,NA,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4
Estonia,2021-03-01,NA,0,NA,NA,manually,pdf,NA
Fiji,2021-03-01,NA,0,NA,NA,manually,automated,http://www.health.gov.fj/
FrenchPolynesia,2021-03-01,NA,0,NA,NA,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation
Georgia,2021-03-01,NA,0,NA,NA,manually,not_yet_automated_daily,https://stopcov.ge/en/
Germany,2021-03-01,NA,0,NA,NA,manually,xslx,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html
Grenada,2021-03-01,NA,0,NA,NA,manually,facebook,https://web.facebook.com/HealthGrenada/photos/a.570448523487244/952200915312001
Guatemala,2021-03-01,NA,0,NA,NA,manually,automated,https://tablerocovid.mspas.gob.gt/
Guyana,2021-03-01,NA,0,NA,NA,manually,image,https://www.health.gov.gy/index.php/component/k2/item/354-guyana-covid-19-dashboard
Honduras,2021-03-01,NA,0,NA,NA,manually,image,http://www.desastres.hn/COVID-19/COVID-19.png
HongKong,2021-03-01,NA,0,NA,NA,manually,pdf,https://www.chp.gov.hk/files/pdf/statistics_on_covid_19_testing.pdf
Iran,2021-03-01,NA,0,NA,NA,manually,automated,http://irangov.ir/search?key=Health%20Ministry&title=1
Iraq,2021-03-01,6881821,NA,NA,NA,manually,image,https://www.facebook.com/MOH.GOV.IQ
Israel,2021-03-01,10195600,0,NA,NA,manually,not_yet_automated_daily,https://datadashboard.health.gov.il/COVID-19/general
Jamaica,2021-03-01,215678,NA,NA,NA,manually,automated,https://www.moh.gov.jm/?s=COVID-19+Clinical+Management+Summary
Japan,2021-03-01,8699616,NA,NA,NA,manually,automated,https://www.mhlw.go.jp/stf/newpage_17117.html
Jordan,2021-03-01,NA,0,NA,NA,manually,automated,https://corona.moh.gov.jo/en
Kazakhstan,2021-03-01,NA,0,NA,NA,manually,special_dashboard,https://hls.kz/
Kosovo,2021-03-01,310246,NA,NA,NA,manually,facebook,https://www.facebook.com/IKSHPK
Kuwait,2021-03-01,1792041,NA,NA,NA,manually,twitter,https://twitter.com/KUWAIT_MOH
Kyrgyzstan,2021-03-01,NA,0,NA,NA,manually,image,http://www.med.kg/ru/informatsii.html
Latvia,2021-03-01,1451361,NA,NA,NA,manually,automated,https://spkc.maps.arcgis.com/apps/opsdashboard/index.html#/4469c1fb01ed43cea6f20743ee7d5939
Lithuania,2021-03-01,2124423,NA,NA,NA,manually,automated,https://koronastop.lrv.lt/en/
Luxembourg,2021-03-01,NA,0,NA,NA,manually,not_yet_automated_daily,https://msan.gouvernement.lu/fr/graphiques-evolution.html
Malaysia,2021-03-01,NA,0,NA,NA,manually,facebook,https://twitter.com/KKMPutrajaya/status/1377805636306665476/photo/1
Maldives,2021-03-01,527850,NA,NA,NA,manually,twitter,https://twitter.com/HPA_MV/status/1366433410378575873/photo/1
Malta,2021-03-01,NA,0,NA,NA,manually,automated,https://timesofmalta.com/articles/view/watch-live-daily-coronavirus-briefing.790073
Moldova,2021-03-01,719950,NA,NA,NA,manually,not_yet_automated_daily,https://msmps.gov.md/comunicare/comunicate/994-cazuri-de-covid-19-inregistrate-in-ultimele-24-ore/
Montenegro,2021-03-01,NA,0,NA,NA,manually,without_information,https://www.ijzcg.me/me/coronainfocg
Netherlands,2021-03-01,NA,0,NA,NA,manually,not_yet_automated_weekly,https://www.rivm.nl/en/novel-coronavirus-covid-19/current-information
Oman,2021-03-01,NA,0,NA,NA,manually,twitter,https://twitter.com/OmanVSCovid19
Pakistan,2021-03-01,NA,0,NA,NA,manually,automated,http://covid.gov.pk/
Panama,2021-03-01,1913569,NA,NA,NA,manually,twitter,https://twitter.com/MINSAPma/status/1366560427853959168/photo/1
PapuaNewGuinea,2021-03-01,NA,0,NA,NA,manually,problems_webpage,https://covid19.info.gov.pg/
Paraguay,2021-03-01,NA,0,NA,NA,manually,special_dashboard,https://www.mspbs.gov.py/reporte-covid19.html
Peru,2021-03-01,7604514,NA,NA,NA,manually,xslx,https://covid19.minsa.gob.pe/sala_situacional.asp
Philippines,2021-03-01,NA,0,NA,NA,manually,special_dashboard,https://www.doh.gov.ph/covid19tracker
Poland,2021-03-01,9895192,NA,NA,NA,manually,image,https://twitter.com/MZ_GOV_PL/status/1366323575846748161/photo/1
Russia,2021-03-01,NA,0,NA,NA,manually,automated,https://www.rospotrebnadzor.ru/search/index.php?tags=&q=%C8%ED%F4%EE%F0%EC%E0%F6%E8%EE%ED%ED%FB%E9+%E1%FE%EB%EB%E5%F2%E5%ED%FC+%EE+%F1%E8%F2%F3%E0%F6%E8%E8+%E8+%EF%F0%E8%ED%E8%EC%E0%E5%EC%FB%F5+%EC%E5%F0%E0%F5+%EF%EE+%ED%E5%E4%EE%EF%F3%F9%E5%ED%E8%FE+%F0%E0%F1%EF%F0%EE%F1%F2%F0%E0%ED%E5%ED%E8%FF+%E7%E0%E1%EE%EB%E5%E2%E0%ED%E8%E9%2C+%E2%FB%E7%E2%E0%ED%ED%FB%F5+%ED%EE%E2%FB%EC+%EA%EE%F0%EE%ED%E0%E2%E8%F0%F3%F1%EE%EC&where=&how=d&from=&to=
SaintKittsandNevis,2021-03-01,NA,0,NA,NA,manually,special_dashboard,https://covid19.gov.kn/
SaintVincentandtheGrenadines,2021-03-01,NA,0,NA,NA,manually,image,https://www.facebook.com/SVGHEALTH/photos
SaudiArabia,2021-03-01,NA,0,NA,NA,manually,automated,https://covid19.moh.gov.sa/
Scotland,2021-03-01,NA,0,NA,NA,manually,special_dashboard,https://public.tableau.com/profile/phs.covid.19#!/vizhome/COVID-19DailyDashboard_15960160643010/Dailyupdate
Seychelles,2021-03-01,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
Slovakia,2021-03-01,2050136,NA,NA,NA,manually,automated,https://korona.gov.sk/
SriLanka,2021-03-01,NA,0,NA,NA,manually,automated,https://www.hpb.health.gov.lk/en
Sudan,2021-03-01,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
Sweden,2021-03-01,NA,0,NA,NA,manually,pdf,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/antalet-testade-for-covid-19/
Tajikistan,2021-03-01,NA,0,NA,NA,manually,without_information,https://eurasianet.org/dashboard-coronavirus-in-eurasia
Thailand,2021-03-01,NA,0,NA,NA,manually,manually,http://nextcloud.dmsc.moph.go.th/index.php/s/wbioWZAQfManokc
TheBahamas,2021-03-01,NA,0,NA,NA,manually,facebook,https://www.facebook.com/MOHBahamas/
TrinidadandTobago,2021-03-01,97750,NA,NA,NA,manually,pdf,https://health.gov.tt/covid-19-update-monday-01st-march-2021
UnitedRepublicofTanzania,2021-03-01,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
Uzbekistan,2021-03-01,NA,0,NA,NA,manually,without_information,https://t.me/koronavirusinfouz/3470
Venezuela,2021-03-01,NA,0,NA,NA,manually,without_information,https://covid19.patria.org.ve/?s=de+la+lucha+contra+la+COVID-19%3A
Vietnam,2021-03-01,NA,0,NA,NA,manually,without_information,https://ncov.moh.gov.vn/?fbclid=IwAR1JDjulr5Ni19WcUWqQqugrEN7Ta6HcGEMqEhdgzifWiSGlIxwknKr9VuU
