country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source,status,url
Andorra,2021-02-19,NA,0,NA,NA,manually,automated,https://www.govern.ad/covid19/en/
Angola,2021-02-19,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
Argentina,2021-02-19,7061619,NA,NA,NA,manually,automated,https://www.argentina.gob.ar/coronavirus/informes-diarios/reportes/febrero2021
Bhutan,2021-02-19,NA,0,NA,NA,manually,image,https://www.facebook.com/MoHBhutan/
Bolivia,2021-02-19,NA,0,NA,NA,manually,image,https://www.minsalud.gob.bo/
Brunei,2021-02-19,NA,0,NA,NA,manually,automated,www.moh.gov.bn/Lists/Latest%20news/NewDispForm.aspx?ID=504&Source=http%3A%2F%2Fwww%2Emoh%2Egov%2Ebn%2FLists%2FLatest%2520news%2FAllItems%2Easpx&ContentTypeId=0x0104009A3003A09F8D6E42981D262E322516A2
BurkinaFaso,2021-02-19,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
Burundi,2021-02-19,NA,0,NA,NA,manually,automated,https://africacdc.org/covid-19/
Canada,2021-02-19,NA,0,NA,NA,manually,automated,https://health-infobase.canada.ca/covid-19/epidemiological-summary-covid-19-cases.html
Chile,2021-02-19,NA,0,NA,NA,manually,automated,https://www.gob.cl/coronavirus/cifrasoficiales/
China,2021-02-19,NA,0,NA,NA,manually,without_information,NA
Colombia,2021-02-19,NA,0,NA,NA,manually,json,https://www.ins.gov.co/Noticias/Paginas/Coronavirus.aspx
CostaRica,2021-02-19,651921,NA,NA,NA,manually,csv,http://geovision.uned.ac.cr/oges/index.html
Cuba,2021-02-19,NA,0,NA,NA,manually,not_yet_automated,http://www.cubadebate.cu/?s=Cuba+reporta
Cyprus,2021-02-19,NA,0,NA,NA,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/
Dominica,2021-02-19,NA,0,NA,NA,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos
