country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source,status,url
Afghanistan,2021-12-22,NA,0,NA,NA,manually,pdf,http://covid.moph-dw.org/#/
Argentina,2021-12-22,NA,0,NA,NA,manually,NA,https://www.argentina.gob.ar/salud/coronavirus-COVID-19/sala-situacion
Armenia,2021-12-22,NA,0,NA,NA,manually,automated,https://ncdc.am/coronavirus/confirmed-cases-by-days/
Bangladesh,2021-12-22,NA,0,NA,NA,manually,automated,https://corona.gov.bd/
Barbados,2021-12-22,462785,0,NA,NA,manually,automated,https://gisbarbados.gov.bb/covid-19/
Benin,2021-12-22,NA,0,NA,NA,manually,automated,https://www.gouv.bj/coronavirus/
Bhutan,2021-12-22,1276721,0,NA,NA,manually,image,https://www.facebook.com/MoHBhutan/
Bolivia,2021-12-22,2965691,0,NA,NA,manually,image,https://www.minsalud.gob.bo/
Brazil,2021-12-22,NA,0,NA,NA,manually,automated,http://www.giscard.com.br/coronavirus/indice-testes-realizados-covid19-brasil.php
Brunei,2021-12-22,NA,0,NA,NA,manually,automated,http://www.moh.gov.bn/Lists/Latest%20news/AllItems.aspx
Bulgaria,2021-12-22,7191897,0,NA,NA,manually,automated,https://coronavirus.bg/
Cambodia,2021-12-22,NA,0,NA,NA,manually,automated,http://cdcmoh.gov.kh/
China,2021-12-22,NA,0,NA,NA,manually,without_information,NA
Colombia,2021-12-22,NA,0,NA,NA,manually,automated,https://infogram.com/panorama-general-1h7z2lgn3l9l4ow?live
Croatia,2021-12-22,NA,0,NA,NA,manually,automated,https://www.koronavirus.hr/najnovije/ukupno-dosad-382-zarazene-osobe-u-hrvatskoj/35
Cuba,2021-12-22,NA,0,NA,NA,manually,not_yet_automated,http://www.cubadebate.cu/?s=Cuba+reporta
Cyprus,2021-12-22,NA,0,NA,NA,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/
Denmark,2021-12-22,NA,0,NA,NA,manually,automated,https://www.sst.dk/en/english/corona-eng/status-of-the-epidemic/covid-19-updates-statistics-and-charts
Dominica,2021-12-22,122784,0,NA,NA,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos
DominicanRepublic,2021-12-22,NA,0,NA,NA,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4
Fiji,2021-12-22,NA,0,NA,NA,manually,automated,http://www.health.gov.fj/
Finland,2021-12-22,NA,0,NA,NA,manually,automated,https://thl.fi/fi/web/infektiotaudit-ja-rokotukset/ajankohtaista/ajankohtaista-koronaviruksesta-covid-19/tilannekatsaus-koronaviruksesta
FrenchPolynesia,2021-12-22,NA,0,NA,NA,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation
Georgia,2021-12-22,NA,0,NA,NA,manually,not_yet_automated_daily,https://stopcov.ge/en/
Germany,2021-12-22,NA,0,NA,NA,manually,xslx,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html
Grenada,2021-12-22,NA,0,NA,NA,manually,facebook,https://web.facebook.com/HealthGrenada/photos/a.570448523487244/952200915312001
Guyana,2021-12-22,NA,0,NA,NA,manually,image,https://www.health.gov.gy/
Honduras,2021-12-22,1133782,0,NA,NA,manually,image,http://www.bvs.hn/COVID-19/
HongKong,2021-12-22,NA,0,NA,NA,manually,pdf,https://www.chp.gov.hk/files/pdf/statistics_on_covid_19_testing.pdf
Iran,2021-12-22,NA,0,NA,NA,manually,automated,http://irangov.ir/search?key=Health%20Ministry&title=1
Iraq,2021-12-22,NA,0,NA,NA,manually,image,https://www.facebook.com/MOH.GOV.IQ
