country,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,date,source,status,url
Afghanistan,NA,0,NA,NA,2021-06-05,manually,pdf,http://covid.moph-dw.org/#/
Barbados,NA,0,NA,NA,2021-06-05,manually,automated,https://gisbarbados.gov.bb/blog/covid-19-situation-dashboard-january-05-2021/
Benin,640586,0,604310,0,2021-06-05,manually,automated,https://africacdc.org/covid-19/
Bhutan,NA,0,NA,NA,2021-06-05,manually,image,https://www.facebook.com/MoHBhutan/
Bolivia,1544053,NA,NA,NA,2021-06-05,manually,image,https://www.minsalud.gob.bo/
Brazil,NA,0,NA,NA,2021-06-05,manually,automated,https://viz.saude.gov.br/extensions/DEMAS_C19Insumos_TESTES/DEMAS_C19Insumos_TESTES.html
Brunei,131454,NA,NA,NA,2021-06-05,manually,automated,www.moh.gov.bn/Lists/Latest%20news/NewDispForm.aspx?ID=504&Source=http%3A%2F%2Fwww%2Emoh%2Egov%2Ebn%2FLists%2FLatest%2520news%2FAllItems%2Easpx&ContentTypeId=0x0104009A3003A09F8D6E42981D262E322516A2
Cambodia,NA,0,NA,NA,2021-06-05,manually,automated,http://cdcmoh.gov.kh/
Canada,NA,0,NA,NA,2021-06-05,manually,automated,https://health-infobase.canada.ca/covid-19/epidemiological-summary-covid-19-cases.html
China,NA,0,NA,NA,2021-06-05,manually,without_information,NA
Colombia,17501504,NA,NA,NA,2021-06-05,manually,json,https://twitter.com/MinSaludCol
Croatia,2040256,NA,NA,NA,2021-06-05,manually,automated,https://www.koronavirus.hr/najnovije/ukupno-dosad-382-zarazene-osobe-u-hrvatskoj/35
Cyprus,NA,0,NA,NA,2021-06-05,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/
Dominica,NA,0,NA,NA,2021-06-05,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos
DominicanRepublic,NA,0,NA,NA,2021-06-05,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4
Fiji,NA,0,NA,NA,2021-06-05,manually,automated,http://www.health.gov.fj/
FrenchPolynesia,NA,0,NA,NA,2021-06-05,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation
Georgia,NA,0,NA,NA,2021-06-05,manually,not_yet_automated_daily,https://stopcov.ge/en/
Germany,NA,0,NA,NA,2021-06-05,manually,xslx,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html
Greenland,26225,NA,NA,NA,2021-06-05,manually,automated,https://nun.gl/emner/borgere/coronavirus_emne/foelg_smittespredningen?sc_lang=da
Guatemala,NA,0,NA,NA,2021-06-05,manually,automated,https://tablerocovid.mspas.gob.gt/
Guyana,160345,NA,NA,NA,2021-06-05,manually,image,https://www.health.gov.gy/index.php/component/k2/item/354-guyana-covid-19-dashboard
Honduras,731009,NA,NA,NA,2021-06-05,manually,image,http://www.desastres.hn/COVID-19/COVID-19.png
HongKong,NA,0,NA,NA,2021-06-05,manually,pdf,https://www.chp.gov.hk/files/pdf/statistics_on_covid_19_testing.pdf
Iran,20564209,NA,NA,NA,2021-06-05,manually,automated,http://irangov.ir/search?key=Health%20Ministry&title=1
Iraq,10646529,NA,NA,NA,2021-06-05,manually,image,https://www.facebook.com/MOH.GOV.IQ
Israel,13817784,0,NA,NA,2021-06-05,manually,not_yet_automated_daily,https://datadashboard.health.gov.il/COVID-19/general
Jamaica,NA,0,NA,NA,2021-06-05,manually,automated,https://www.moh.gov.jm/?s=COVID-19+Clinical+Management+Summary
Japan,NA,0,NA,NA,2021-06-05,manually,automated,https://www.mhlw.go.jp/stf/houdou/houdou_list_202007.html
Jordan,NA,0,NA,NA,2021-06-05,manually,automated,https://corona.moh.gov.jo/en
Kazakhstan,NA,0,NA,NA,2021-06-05,manually,special_dashboard,https://hls.kz/
Kosovo,621045,0,NA,NA,2021-06-05,manually,facebook,https://www.facebook.com/IKSHPK
Kuwait,NA,0,NA,NA,2021-06-05,manually,twitter,https://twitter.com/KUWAIT_MOH
Kyrgyzstan,NA,0,NA,NA,2021-06-05,manually,image,https://www.instagram.com/daryger_sunushu/
Luxembourg,NA,0,NA,NA,2021-06-05,manually,not_yet_automated_daily,https://msan.gouvernement.lu/fr/graphiques-evolution.html
Malaysia,12580561,NA,NA,NA,2021-06-05,manually,facebook,https://www.facebook.com/kementeriankesihatanmalaysia/photos/10157490776386237
Maldives,913080,NA,NA,NA,2021-06-05,manually,twitter,https://twitter.com/HPA_MV/status/1348675860627419136
Moldova,1142357,NA,NA,NA,2021-06-05,manually,not_yet_automated_daily,https://msmps.gov.md/?s=cazuri+de+COVID-19
Montenegro,NA,0,NA,NA,2021-06-05,manually,without_information,https://www.ijzcg.me/me/coronainfocg
Myanmar,2629730,NA,NA,NA,2021-06-05,manually,automated,https://mohs.gov.mm/Main/content/publication/2019-ncov
OccupiedPalestinianterritory,NA,0,NA,NA,2021-06-05,manually,automated,https://corona.ps/
Oman,NA,0,NA,NA,2021-06-05,manually,twitter,https://twitter.com/OmanVSCovid19
Pakistan,NA,0,NA,NA,2021-06-05,manually,automated,http://covid.gov.pk/
Panama,NA,0,NA,NA,2021-06-05,manually,twitter,https://twitter.com/MINSAPma/status/1325931093804113925/photo/1
PapuaNewGuinea,NA,0,NA,NA,2021-06-05,manually,problems_webpage,https://covid19.info.gov.pg/
Paraguay,NA,0,NA,NA,2021-06-05,manually,special_dashboard,https://www.mspbs.gov.py/reporte-covid19.html
Peru,NA,0,NA,NA,2021-06-05,manually,xslx,https://covid19.minsa.gob.pe/sala_situacional.asp
Philippines,13665826,NA,NA,NA,2021-06-05,manually,special_dashboard,https://www.doh.gov.ph/covid19tracker
Poland,NA,0,NA,NA,2021-06-05,manually,image,https://twitter.com/MZ_GOV_PL
Romania,NA,0,NA,NA,2021-06-05,manually,automated,https://stirioficiale.ro/informatii
Russia,NA,0,NA,NA,2021-06-05,manually,automated,https://www.rospotrebnadzor.ru/search/index.php?tags=&q=%C8%ED%F4%EE%F0%EC%E0%F6%E8%EE%ED%ED%FB%E9+%E1%FE%EB%EB%E5%F2%E5%ED%FC+%EE+%F1%E8%F2%F3%E0%F6%E8%E8+%E8+%EF%F0%E8%ED%E8%EC%E0%E5%EC%FB%F5+%EC%E5%F0%E0%F5+%EF%EE+%ED%E5%E4%EE%EF%F3%F9%E5%ED%E8%FE+%F0%E0%F1%EF%F0%EE%F1%F2%F0%E0%ED%E5%ED%E8%FF+%E7%E0%E1%EE%EB%E5%E2%E0%ED%E8%E9%2C+%E2%FB%E7%E2%E0%ED%ED%FB%F5+%ED%EE%E2%FB%EC+%EA%EE%F0%EE%ED%E0%E2%E8%F0%F3%F1%EE%EC&where=&how=d&from=&to=
SaintKittsandNevis,NA,0,NA,NA,2021-06-05,manually,special_dashboard,https://covid19.gov.kn/
SaintVincentandtheGrenadines,NA,0,NA,NA,2021-06-05,manually,image,https://www.facebook.com/SVGHEALTH/photos
SanMarino,NA,0,NA,NA,2021-06-05,manually,automated,http://www.iss.sm/on-line/home/articolo49014558.html
Scotland,NA,0,NA,NA,2021-06-05,manually,special_dashboard,https://public.tableau.com/profile/phs.covid.19#!/vizhome/COVID-19DailyDashboard_15960160643010/Dailyupdate
Sweden,NA,0,NA,NA,2021-06-05,manually,pdf,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/antalet-testade-for-covid-19/
Tajikistan,NA,0,NA,NA,2021-06-05,manually,without_information,https://eurasianet.org/dashboard-coronavirus-in-eurasia
TheBahamas,NA,0,NA,NA,2021-06-05,manually,facebook,https://www.bahamas.gov.bs/wps/portal/public/gov/government/news/All%20News%20Press%20Release
TrinidadandTobago,197650,NA,NA,NA,2021-06-05,manually,pdf,http://www.health.gov.tt/sitepages/default.aspx?id=293
Uruguay,2383181,NA,NA,NA,2021-06-05,manually,automated,https://www.gub.uy/sistema-nacional-emergencias/pagina-embebida/visualizador-casos-coronavirus-covid-19-uruguay
Uzbekistan,NA,0,NA,NA,2021-06-05,manually,without_information,https://t.me/koronavirusinfouz/3470
Venezuela,NA,0,NA,NA,2021-06-05,manually,without_information,https://covid19.patria.org.ve/?s=de+la+lucha+contra+la+COVID-19%3A
Vietnam,NA,0,NA,NA,2021-06-05,manually,without_information,https://ncov.moh.gov.vn/?fbclid=IwAR1JDjulr5Ni19WcUWqQqugrEN7Ta6HcGEMqEhdgzifWiSGlIxwknKr9VuU
