country,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,date,source,status,url,comentarios,frecuencia,cambiar status
Afghanistan,NA,0,NA,NA,2021-02-28,manually,pdf,https://www.humanitarianresponse.info/en/operations/afghanistan/health/documents/table,NA,NA,NA
Albania,NA,0,NA,NA,2021-02-28,manually,automated,https://new.shendetesia.gov.al/?s=COVID19%2F+Ministria+e+Sh%C3%ABndet%C3%ABsis%C3%AB%3A,NA,NA,NA
Angola,NA,0,NA,NA,2021-02-28,manually,automated,https://africacdc.org/covid-19/,NA,NA,NA
AntiguaandBarbuda,NA,0,NA,NA,2021-02-28,manually,automated,NA,NA,NA,NA
Argentina,7436806,NA,NA,NA,2021-02-28,manually,NA,https://www.argentina.gob.ar/salud/coronavirus-COVID-19/sala-situacion,NA,NA,NA
Bhutan,528646,NA,NA,NA,2021-02-28,manually,image,https://www.facebook.com/MoHBhutan/,NA,NA,NA
Bolivia,720678,NA,NA,NA,2021-02-28,manually,image,https://www.minsalud.gob.bo/5334-reporte-covid-19-463-nuevos-contagios-3-429-casos-descartados-7-702-salubristas-recibieron-la-segunda-dosis-de-la-vacuna-sputnik-v-y-13-303-personas-la-primera-dosis-de-sinopharm,NA,NA,NA
BurkinaFaso,NA,0,NA,NA,2021-02-28,manually,automated,https://africacdc.org/covid-19/,NA,NA,NA
Burundi,NA,0,NA,NA,2021-02-28,manually,automated,https://africacdc.org/covid-19/,NA,NA,NA
Cambodia,NA,0,NA,NA,2021-02-28,manually,automated,http://cdcmoh.gov.kh/,NA,NA,NA
Canada,24425703,NA,NA,NA,2021-02-28,manually,automated,https://health-infobase.canada.ca/covid-19/epidemiological-summary-covid-19-cases.html,NA,NA,NA
China,NA,0,NA,NA,2021-02-28,manually,without_information,NA,NA,NA,NA
Colombia,NA,0,NA,NA,2021-02-28,manually,json,https://www.ins.gov.co/Noticias/Paginas/Coronavirus.aspx,NA,NA,NA
CostaRica,NA,0,NA,NA,2021-02-28,manually,csv,http://geovision.uned.ac.cr/oges/index.html,NA,NA,NA
Croatia,1344652,NA,NA,NA,2021-02-28,manually,automated,https://www.koronavirus.hr/najnovije/ukupno-dosad-382-zarazene-osobe-u-hrvatskoj/35,NA,NA,NA
Cuba,2392132,NA,NA,NA,2021-02-28,manually,not_yet_automated,http://www.cubadebate.cu/noticias/2021/02/28/cuba-reporta-618-nuevos-casos-de-covid-19-y-cuatro-fallecidos/,NA,NA,NA
Cyprus,NA,0,NA,NA,2021-02-28,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/,NA,NA,NA
Dominica,NA,0,NA,NA,2021-02-28,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos,NA,NA,NA
DominicanRepublic,1210716,NA,NA,NA,2021-02-28,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4,NA,NA,NA
Estonia,NA,0,NA,NA,2021-02-28,manually,pdf,NA,NA,NA,NA
Fiji,NA,0,NA,NA,2021-02-28,manually,automated,http://www.health.gov.fj/,NA,NA,NA
FrenchPolynesia,NA,0,NA,NA,2021-02-28,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation,NA,NA,NA
Georgia,NA,0,NA,NA,2021-02-28,manually,not_yet_automated_daily,https://stopcov.ge/en/,NA,NA,NA
Germany,NA,0,NA,NA,2021-02-28,manually,xslx,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html,NA,NA,NA
Grenada,NA,0,NA,NA,2021-02-28,manually,facebook,https://web.facebook.com/HealthGrenada/photos/a.570448523487244/952200915312001,NA,NA,NA
Guyana,NA,0,NA,NA,2021-02-28,manually,image,https://www.health.gov.gy/index.php/component/k2/item/354-guyana-covid-19-dashboard,NA,NA,NA
Honduras,NA,0,NA,NA,2021-02-28,manually,image,http://www.desastres.hn/COVID-19/COVID-19.png,NA,NA,NA
HongKong,NA,0,NA,NA,2021-02-28,manually,pdf,https://www.chp.gov.hk/files/pdf/statistics_on_covid_19_testing.pdf,NA,NA,NA
Iran,NA,0,NA,NA,2021-02-28,manually,automated,http://irangov.ir/search?key=Health%20Ministry&title=1,NA,NA,NA
Iraq,6846243,NA,NA,NA,2021-02-28,manually,image,https://www.facebook.com/MOH.GOV.IQ,NA,NA,NA
Israel,11959120,NA,NA,NA,2021-02-28,manually,not_yet_automated_daily,https://datadashboard.health.gov.il/COVID-19/general,NA,NA,NA
Jamaica,213859,NA,NA,NA,2021-02-28,manually,automated,https://www.moh.gov.jm/covid-19-clinical-management-summary-for-sunday-february-28-2021/,NA,NA,NA
