country.jhu_ID,country.source
Afghanistan,https://www.humanitarianresponse.info/en/operations/afghanistan/health/documents/table
Barbados,https://gisbarbados.gov.bb/blog/covid-19-situation-dashboard-january-05-2021/
Bhutan,https://www.gov.bt/covid19/05-01-21-national-situational-update-on-covid-19-moh/
Bolivia,https://www.minsalud.gob.bo/
Cambodia,https://www.voacambodia.com/a/more-than-5000-tested-for-virus-in-cambodia-national-tally-reaches-109-cases/5353258.html
Colombia,https://www.ins.gov.co/Noticias/Paginas/Coronavirus.aspx
CostaRica,http://geovision.uned.ac.cr/oges/index.html
Cuba,http://www.cubadebate.cu/?s=Cuba+reporta
Cyprus,https://covid19.ucy.ac.cy/
Dominica,https://www.facebook.com/SupportRooseveltSkerrit/photos
DominicanRepublic,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4
Fiji,http://www.health.gov.fj/covid-19-updates/
FrenchPolynesia,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation
Georgia,https://stopcov.ge/en/
Germany,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html
Greece,https://eody.gov.gr/
Grenada,https://www.facebook.com/HealthGrenada/photos
Guyana,https://www.health.gov.gy/index.php/component/k2/item/354-guyana-covid-19-dashboard
Honduras,http://www.desastres.hn/COVID-19/COVID-19.png
HongKong,https://www.chp.gov.hk/files/pdf/statistics_on_covid_19_testing.pdf
Iraq,https://www.facebook.com/MOH.GOV.IQ
Israel,https://datadashboard.health.gov.il/COVID-19/general
Jamaica,https://www.moh.gov.jm/?s=COVID-19+Clinical+Management+Summary
Jordan,https://corona.moh.gov.jo/en
Kazakhstan,https://hls.kz/
Kosovo,https://www.facebook.com/IKSHPK
Kyrgyzstan,http://www.med.kg/ru/informatsii.html
LaoPeople'sDemoraticRepublic,https://www.covid19.gov.la/index.php
Latvia,https://infogram.com/covid-19-izplatiba-latvija-1hzj4ozwvnzo2pw
Lesotho,https://africacdc.org/covid-19/
Luxembourg,https://msan.gouvernement.lu/fr/graphiques-evolution.html
China,NA
Malaysia,https://www.facebook.com/kementeriankesihatanmalaysia/photos/10157490776386237
Moldova,https://msmps.gov.md/?s=cazuri+de+COVID-19
Montenegro,https://www.ijzcg.me/me/coronainfocg
Netherlands,https://www.rivm.nl/documenten/epidemiologische-situatie-covid-19-in-nederland-8-juni-2063
occupiedPalestinianterritory,https://corona.ps/
Oman,https://twitter.com/OmanVSCovid19
Pakistan,http://covid.gov.pk/
Panama,https://twitter.com/MINSAPma/status/1325931093804113925/photo/1
PapuaNewGuinea,https://covid19.info.gov.pg/
Paraguay,https://www.mspbs.gov.py/reporte-covid19.html
Peru,https://covid19.minsa.gob.pe/sala_situacional.asp
Philippines,https://www.doh.gov.ph/covid19tracker
SaintKittsandNevis,https://zizonline.com/category/covid-19/
Saint Lucia,https://www.covid19response.lc/
SaintVincentandtheGrenadines,https://www.facebook.com/SVGHEALTH/photos
Scotland,https://public.tableau.com/profile/phs.covid.19#!/vizhome/COVID-19DailyDashboard_15960160643010/Dailyupdate
Serbia,https://covid19.rs/
Slovenia,https://www.nijz.si/sl/dnevno-spremljanje-okuzb-s-sars-cov-2-covid-19
SriLanka,https://www.hpb.health.gov.lk/en
Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/veckorapporten-om-covid-19/
Tajikistan,https://eurasianet.org/dashboard-coronavirus-in-eurasia
Thailand,https://ddc.moph.go.th/viralpneumonia/eng/index.php
TheBahamas,https://www.facebook.com/MOHBahamas/
TrinidadandTobago,http://www.health.gov.tt/sitepages/default.aspx?id=293
Uruguay,https://www.gub.uy/sistema-nacional-emergencias/pagina-embebida/visualizador-casos-coronavirus-covid-19-uruguay
Uzbekistan,https://t.me/koronavirusinfouz/3470
Venezuela,www.minci.gob.ve/venezuela-suma-198-nuevos-casos-de-covid-19-y-contabiliza-3-mil-790-infecciones/
Vietnam,https://ncov.moh.gov.vn/?fbclid=IwAR1JDjulr5Ni19WcUWqQqugrEN7Ta6HcGEMqEhdgzifWiSGlIxwknKr9VuU
